,Ranking,n,Economy,dollars,
,,,,,
,,,,,
,,,,,
,,,,,
ITA,9,,Italy,"2,014,670",
BOL,96,,Bolivia,"27,035",
GEO,114,,Georgia,"15,747",e
MEX,14,,Mexico,"1,178,126",
BGD,59,,Bangladesh,"116,355",
VUT,177,,Vanuatu,787,
BEL,25,,Belgium,"483,262",
CAN,11,,Canada,"1,821,424",
TUN,79,,Tunisia,"45,662",
CRI,81,,Costa Rica,"45,104",
VCT,180,,St. Vincent and the Grenadines,713,
USA,1,,United States,"16,244,600",
BHS,138,,"Bahamas, The","8,149",
GBR,6,,United Kingdom,"2,471,784",
VEN,29,,"Venezuela, RB","381,286",
SDN,73,,Sudan,"58,769",b
MNG,130,,Mongolia,"10,271",
DOM,72,,Dominican Republic,"59,047",
KEN,87,,Kenya,"40,697",
ZAR,112,,"Congo, Dem. Rep.","17,204",
VNM,57,,Vietnam,"155,820",
GIN,148,,Guinea,"5,632",
ECU,64,,Ecuador,"84,040",
FSM,185,,"Micronesia, Fed. Sts.",326,
PLW,187,,Palau,228,
DNK,33,,Denmark,"314,887",
MAC,82,,"Macao SAR, China","43,582",
JAM,116,,Jamaica,"14,755",
TJK,143,,Tajikistan,"6,972",
BLR,69,,Belarus,"63,267",
SUR,150,,Suriname,"5,012",
UZB,75,,Uzbekistan,"51,113",
GNB,176,,Guinea-Bissau,822,
MDV,164,,Maldives,"2,222",
IND,10,,India,"1,841,710",
PNG,115,,Papua New Guinea,"15,654",
MHL,188,,Marshall Islands,182,
TZA,95,,Tanzania,"28,242",c
ISR,40,,Israel,"258,217",
QAT,54,,Qatar,"171,476",
CHL,36,,Chile,"269,869",
ZWE,134,,Zimbabwe,"9,802",
MCO,147,,Monaco,"6,075",
AUT,27,,Austria,"394,708",
IDN,16,,Indonesia,"878,043",
JPN,3,,Japan,"5,959,718",
TON,184,,Tonga,472,
GAB,109,,Gabon,"18,377",
CYP,102,,Cyprus,"22,767",d
ARG,26,,Argentina,"475,502",
KGZ,145,,Kyrgyz Republic,"6,475",
HRV,71,,Croatia,"59,228",
KOR,15,,"Korea, Rep.","1,129,598",
PHL,41,,Philippines,"250,182",
CMR,98,,Cameroon,"25,322",
ESP,13,,Spain,"1,322,965",
SLB,174,,Solomon Islands,"1,008",
MWI,152,,Malawi,"4,264",
DEU,4,,Germany,"3,428,131",
YEM,90,,"Yemen, Rep.","35,646",
TGO,156,,Togo,"3,814",
LSO,163,,Lesotho,"2,448",
ROM,52,,Romania,"192,711",
ERI,159,,Eritrea,"3,092",
LKA,70,,Sri Lanka,"59,423",
UGA,106,,Uganda,"19,881",
TMP,170,,Timor-Leste,"1,293",
BDI,162,,Burundi,"2,472",
ALB,125,,Albania,"12,648",
DZA,48,,Algeria,"205,789",
URY,78,,Uruguay,"49,920",
MKD,135,,"Macedonia, FYR","9,613",
SVK,63,,Slovak Republic,"91,149",
LVA,94,,Latvia,"28,373",
LCA,171,,St. Lucia,"1,239",
HUN,58,,Hungary,"124,600",
TCD,124,,Chad,"12,887",
MRT,154,,Mauritania,"4,199",
NPL,107,,Nepal,"18,963",
STP,186,,Ṣo Tom̩ and Principe,263,
UKR,53,,Ukraine,"176,309",
